#f	V_out	d_out	V_in	d_in
49.7	0.13	0.01	4.46	0.06
152.2	0.35	0.01	4.52	0.02
254.9	0.59	0.01	4.5	0.02
354.3	0.93	0.01	4.5	0.02
467.8	1.45	0.01	4.4	0.02
563.5	2.15	0.01	4.34	0.01
669.2	3.19	0.01	4.12	0.01
725.7	3.5	0.01	4.0	0.01
756.4	3.6	0.005	3.99	0.01
766.4	3.58	0.02	3.99	0.01
872.2	2.94	0.02	4.17	0.01
976.5	2.25	0.01	4.3	0.02
1006	2.1	0.02	4.35	0.01
1166	1.53	0.01	4.41	0.01
1279	1.29	0.01	4.45	0.01
1379	1.14	0.01	4.48	0.01
1484	1.01	0.01	4.49	0.01
1580	0.93	0.01	4.5	0.02
1713	0.83	0.01	4.51	0.01
1895	0.71	0.01	4.51	0.01
2012	0.66	0.005	4.51	0.01


